ID,Movie,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
16565,13 Sins,2014,6.3,8,9130,4000000,45.0,1,0,3280543,4632,425,636,1120000
56666,22 Jump Street,2014,7.1,1,192000000,50000000,3306.0,2,2,583289,3465,61,186,12350000
96656,3 Days to Kill,2014,6.2,1,30700000,28000000,2872.0,1,0,304861,328,34,47,483000
65166,300: Rise of an Empire,2014,6.3,1,106000000,110000000,3470.0,2,0,452917,2429,132,590,568000
35651,A Haunted House 2,2014,4.7,8,17300000,3500000,2310.0,2,0,3145573,12163,610,1082,1923800
58465,A Long Way Off,2014,4.6,3,29000,500000,,1,0,91137,112,7,1,310000
56659,A Million Ways to Die in the West,2014,6.1,8,42600000,40000000,3158.0,1,0,3013011,9595,419,1020,8153000
98898,A Most Violent Year,2014,7.1,1,5750000,20000000,818.0,1,2,1854103,2207,197,593,130655
35135,A Walk Among the Tombstones,2014,6.5,10,26000000,28000000,2714.0,1,3,2213659,2210,419,382,125646
84848,About Last Night,2014,6.1,8,48600000,12500000,2253.0,1,0,5218079,11709,532,770,21697300
96443,American Sniper,2014,7.3,1,350000000,58800000,3555.0,1,4,3927600,13143,573,3134,24300
32135,And So It Goes,2014,5.7,8,15200000,30000000,1762.0,1,0,519327,963,94,70,386400
54584,Annabelle,2014,5.4,15,84300000,6500000,3185.0,1,0,19032902,38810,4382,4392,19420105
15466,Annie,2014,5.2,8,85900000,65000000,3116.0,1,0,930006,5150,707,1484,5130800
53269,Atlas Shrugged: Who Is John Galt?,2014,4.4,3,830000,5000000,65.0,3,0,595194,85,36,39,15112
35137,Barefoot,2014,6.6,8,11800,6000000,18.0,1,2,3915978,6983,247,460,253000
45487,Better Living Through Chemistry,2014,6.3,8,72300,5000000,25.0,1,0,1391527,2479,146,182,1658900
32356,Beyond the Lights,2014,6.9,3,14600000,7000000,31.0,1,0,1828235,7633,235,685,116100
45698,Big Hero 6,2014,7.9,12,222000000,165000000,3761.0,1,29,4700023,14163,538,1293,199800
78789,Black or White,2014,6.6,3,21600000,9000000,1823.0,1,-1,1348142,4404,307,1033,888000
13235,Blended,2014,6.5,8,46300000,40000000,3555.0,1,-2,7977747,18690,1940,2214,2417000
54685,Boyhood,2014,8.0,3,25400000,4000000,771.0,1,9,1671367,4572,207,741,105000
16469,Brick Mansions,2014,5.7,1,20300000,28000000,2647.0,1,0,2088644,6633,255,1235,3209000
23546,Cake,2014,6.5,3,1870000,7000000,482.0,1,2,4398243,9202,454,1150,4769100
68464,Camp X-Ray,2014,7.0,3,9840,1000000,,1,3,7128,1,0,0,2182
